scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
Mid-Market DL (£100M),0.02,0.4,20,0.06,0.08972037,0.496083006,110955237.46
Mid-Market DL (£100M),0.02,0.4,21,0.06,0.06964275975,0.0019889405,105612744.6
Mid-Market DL (£100M),0.02,0.4,22,0.06,0.08679436,0.769435488,113630242.08
Mid-Market DL (£100M),0.02,0.4,23,0.06,0.07312727,0.758501816,113247563.56
Mid-Market DL (£100M),0.02,0.4,24,0.06,0.089667185,0.660229068,112595634.38
Mid-Market DL (£100M),0.02,0.4,25,0.06,0.09529509,0.517259678,111278498.58
Mid-Market DL (£100M),0.02,0.4,26,0.06,0.083676705,0.766941364,113542947.74
Mid-Market DL (£100M),0.02,0.4,27,0.06,0.093082495,0.774465996,113806309.86
Mid-Market DL (£100M),0.02,0.4,28,0.06,0.08243541,0.765948328,113508191.48
Mid-Market DL (£100M),0.02,0.4,29,0.06,0.0841884,0.658408586,112467853.86
Mid-Market DL (£100M),0.02,0.4,30,0.06,0.06962033325,0.7403388875,112995795.54
Mid-Market DL (£100M),0.02,0.4,31,0.06,0.0902172,0.593272766,111937071.66
Mid-Market DL (£100M),0.02,0.4,32,0.06,0.08266418,0.766131344,113514597.04
Mid-Market DL (£100M),0.02,0.4,33,0.06,0.09432329,0.49847567,111071222.5
Mid-Market DL (£100M),0.02,0.4,34,0.06,0.092119955,0.773695964,113779358.74
Mid-Market DL (£100M),0.02,0.4,35,0.06,0.06886034025,0.7276723375,112853930.18
Mid-Market DL (£100M),0.02,0.4,36,0.06,0.09612302,0.177776582,107900226.22
Mid-Market DL (£100M),0.02,0.4,37,0.06,0.090030375,0.583148994,111832097.44
Mid-Market DL (£100M),0.02,0.4,38,0.06,0.09773769,0.778190152,113936655.32
Mid-Market DL (£100M),0.02,0.4,39,0.06,0.091860935,0.572153322,111758751.92
Mid-Market DL (£100M),0.02,0.4,40,0.06,0.096536495,0.777229196,113903021.86
Mid-Market DL (£100M),0.02,0.4,41,0.06,0.091242935,0.772994348,113754802.18
Mid-Market DL (£100M),0.02,0.4,42,0.06,0.089501505,0.771601204,113706042.14
