scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
High Equity (10%),0.04,0.0,34,0.05,0.0655428,0.337146,1081823.16
High Equity (10%),0.04,0.0,35,0.05,0.0732936,-0.1395256,1035706.16
High Equity (10%),0.04,0.0,36,0.05,0.0773164,0.429974,1093460.68
High Equity (10%),0.04,0.0,37,0.05,0.0794424,0.386012,1089489.68
High Equity (10%),0.04,0.0,38,0.05,0.0785272,0.0253528,1053240.72
High Equity (10%),0.04,0.0,39,0.05,0.0798636,0.1964252,1070615.24
High Equity (10%),0.04,0.0,40,0.05,0.0777664,0.261024,1076655.68
High Equity (10%),0.04,0.0,41,0.05,0.0692592,0.3739136,1086243.2
High Equity (10%),0.04,0.0,42,0.05,0.0798292,0.251506,1076116.44
High Equity (10%),0.04,0.0,43,0.05,0.0764464,0.2867184,1078961.12
High Equity (10%),0.04,0.0,44,0.05,0.0749752,-0.2967496,1020320.08
High Equity (10%),0.04,0.0,45,0.05,0.05640348,-0.11964456,1034316.24
High Equity (10%),0.04,0.0,46,0.05,0.0786392,0.3909432,1089822.16
High Equity (10%),0.04,0.0,47,0.05,0.0782556,0.2882588,1079477.0
High Equity (10%),0.04,0.0,48,0.05,0.0699272,0.1578056,1064766.0
High Equity (10%),0.04,0.0,49,0.05,0.0790772,0.35161,1085976.44
High Equity (10%),0.04,0.4,0,0.05,0.0743948,0.5390628,1103785.24
High Equity (10%),0.04,0.4,1,0.05,0.079788,0.3165976,1082617.36
High Equity (10%),0.04,0.4,2,0.05,0.07157,0.3943044,1088744.44
High Equity (10%),0.04,0.4,3,0.05,0.0783584,0.2892624,1079597.92
High Equity (10%),0.04,0.4,4,0.05,0.0793056,0.4290184,1093762.96
High Equity (10%),0.04,0.4,5,0.05,0.0641932,0.2020964,1068048.28
High Equity (10%),0.04,0.4,6,0.05,0.0628768,0.3950432,1087079.68
High Equity (10%),0.04,0.4,7,0.05,0.0747684,0.4166188,1091615.56
High Equity (10%),0.04,0.4,8,0.05,0.0795908,0.206406,1071558.76
High Equity (10%),0.04,0.4,9,0.05,0.0744304,0.4308104,1092967.12
High Equity (10%),0.04,0.4,10,0.05,0.0797808,0.4499632,1095952.48
High Equity (10%),0.04,0.4,11,0.05,0.079386,0.3679564,1087672.84
High Equity (10%),0.04,0.4,12,0.05,0.0778436,0.2361948,1074188.2
High Equity (10%),0.04,0.4,13,0.05,0.0797372,0.4309692,1094044.36
High Equity (10%),0.04,0.4,14,0.05,0.06202,0.4380416,1091208.16
High Equity (10%),0.04,0.4,15,0.05,0.0794036,0.4370436,1094585.08
High Equity (10%),0.04,0.4,16,0.05,0.0794492,0.5104068,1101930.52
High Equity (10%),0.04,0.4,17,0.05,0.0708216,0.2042968,1069594.0
High Equity (10%),0.04,0.4,18,0.05,0.0764908,0.3438644,1084684.6
High Equity (10%),0.04,0.4,19,0.05,0.078896,0.222624,1073041.6
High Equity (10%),0.04,0.4,20,0.05,0.0735536,0.3323232,1082943.04
High Equity (10%),0.04,0.4,21,0.05,0.079124,0.4026432,1091089.12
High Equity (10%),0.04,0.4,22,0.05,0.0789732,0.1894372,1069738.36
