scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
SME Fund (£25M),0.05,0.4,36,0.049875012,0.0798000192,0.3269098944,26705387.68
SME Fund (£25M),0.05,0.4,37,0.049999598,0.0799993568,0.6308266336,27088522.84
SME Fund (£25M),0.05,0.4,38,0.049586762,0.0793388192,0.7075532704,27173697.4
SME Fund (£25M),0.05,0.4,39,0.049995588,0.0799929408,0.7389462336,27223568.08
SME Fund (£25M),0.05,0.4,40,0.049625282,0.0794004512,0.4128365344,26806303.0
SME Fund (£25M),0.05,0.4,41,0.04981348,0.079701568,0.544962944,26976354.16
SME Fund (£25M),0.05,0.4,42,0.049917542,0.0798680672,0.8228276704,27326390.68
SME Fund (£25M),0.05,0.4,43,0.049970606,0.0799529696,0.3596976352,26748857.8
SME Fund (£25M),0.05,0.4,44,0.04984577,0.079753232,0.536726608,26966898.28
SME Fund (£25M),0.05,0.4,45,0.049948576,0.0799177216,0.7500866432,27236271.28
SME Fund (£25M),0.05,0.4,46,0.049924558,0.0798792928,0.7114432736,27187342.6
SME Fund (£25M),0.05,0.4,47,0.048443796,0.0775100736,0.2799317952,26609453.44
SME Fund (£25M),0.05,0.4,48,0.048737158,0.0779794528,0.2224995296,26545290.52
SME Fund (£25M),0.05,0.4,49,0.04847427,0.077558832,0.519572016,26909796.04
SME Fund (£25M),0.1,0.4,0,0.049979042,-0.09525015946666666,0.0548029584,25710896.44
SME Fund (£25M),0.1,0.4,1,0.049973004,0.0157637664,0.1213977888,26210321.44
SME Fund (£25M),0.1,0.4,2,0.049500682,-0.008795962133333333,0.1056039504,26089033.72
SME Fund (£25M),0.1,0.4,3,0.04989806,-0.0029301706666666665,0.110013552,26124490.0
SME Fund (£25M),0.1,0.4,4,0.049793072,0.07508816853333333,0.1565893824,26473178.8
SME Fund (£25M),0.1,0.4,5,0.049682602,-0.07964313013333334,0.0635031504,25774369.24
SME Fund (£25M),0.1,0.4,6,0.049914546,-0.0427374064,0.0861661392,25945733.32
SME Fund (£25M),0.1,0.4,7,0.049893488,0.0798295808,0.1680868096,26507339.2
SME Fund (£25M),0.1,0.4,8,0.04993167,-0.008439048,0.106783512,26100466.36
SME Fund (£25M),0.1,0.4,9,0.048319308,0.0773108928,0.3645360576,26711972.08
SME Fund (£25M),0.1,0.4,10,0.049915118,-0.07948099786666667,0.0641212656,25780400.2
SME Fund (£25M),0.1,0.4,11,0.049920168,0.0798722688,0.2110753536,26561768.56
SME Fund (£25M),0.1,0.4,12,0.04990465,-0.011881613333333334,0.104657448,26084358.76
SME Fund (£25M),0.1,0.4,13,0.049665224,0.0794643584,0.1980623488,26538873.76
SME Fund (£25M),0.1,0.4,14,0.04990246,0.079843936,0.197790944,26544702.64
SME Fund (£25M),0.1,0.4,15,0.049978706,-0.08038461706666666,0.0637215312,25777783.72
SME Fund (£25M),0.1,0.4,16,0.049135316,0.016375358933333334,0.1198883232,26193974.32
SME Fund (£25M),0.1,0.4,17,0.049955296,0.00019546026666666667,0.1120171392,26139860.32
SME Fund (£25M),0.1,0.4,18,0.04994621,0.079913936,0.203720848,26553252.52
SME Fund (£25M),0.1,0.4,19,0.04998821,0.03561186933333333,0.133340712,26299984.6
SME Fund (£25M),0.1,0.4,20,0.049724296,-0.15519829973333332,0.0182634432,25435321.6
SME Fund (£25M),0.1,0.4,21,0.049853584,0.06300584106666667,0.1494755328,26420188.0
SME Fund (£25M),0.1,0.4,22,0.048716908,0.0779470528,0.2316456896,26556196.72
SME Fund (£25M),0.1,0.4,23,0.049997556,0.0799960896,0.1909956672,26538681.04
SME Fund (£25M),0.1,0.4,24,0.049990758,0.0526012528,0.1435400496,26376494.92
SME Fund (£25M),0.1,0.4,25,0.049982488,0.041575287466666666,0.1369059456,26326689.52
SME Fund (£25M),0.1,0.4,26,0.049948292,0.008714040533333333,0.1171125984,26178034.24
SME Fund (£25M),0.1,0.4,27,0.04998592,0.03734813866666667,0.134377344,26307745.6
